attraction_id,name,location,description,opening_hours,category,price
1,Lentil Soup (canned),Calypso,Hearty lentil soup for a quick meal.,7:29 PM,Food - Canned Goods,1.99
2,Sketchbook,Jana,High-quality sketchbook for artists.,8:22 PM,Art Supplies,14.99
3,Collapsible Colander,Michigan,Space-saving colander for rinsing fruits and vegetables.,6:26 PM,Kitchen,14.99
4,Set of Herb Garden Markers,Sutherland,Stylish markers for labeling your indoor garden plants.,3:58 AM,Garden,8.99
5,Electric Meat Grinder,Pennsylvania,Powerful grinder for making sausage and burgers at home.,7:51 AM,Kitchen,89.99
6,Raspberry Vanilla Greek Yogurt,Oxford,Creamy Greek yogurt infused with raspberry and vanilla flavors.,10:03 AM,Food - Dairy,3.49
7,Sun-Dried Tomato Pesto,Banding,A rich pesto made with sun-dried tomatoes and pine nuts.,6:37 PM,Food - Condiments,4.49
8,Scented Soy Candles,Atwood,Hand-poured candles made of natural soy wax.,4:25 AM,Home,19.99
9,Roasted Red Pepper Hummus,New Castle,A creamy and flavorful hummus made with roasted red peppers.,4:59 PM,Food - Dips,3.49
10,Pasta Maker,Lakewood Gardens,Manual pasta maker for homemade pasta.,2:03 AM,Kitchen,39
11,Ethically-Sourced Coffee Beans,Marcy,Freshly roasted coffee beans with rich flavor.,11:41 PM,Food - Beverages,9.99
12,Portable Solar Camp Shower,South,Portable solar shower for camping and outdoor use.,6:43 PM,Outdoor,29.99
13,Classic Leather Wallet,Golden Leaf,A sleek leather wallet that combines style and functionality.,3:55 PM,Clothing - Accessories,34.99
14,Multicolored LED Strip Lights,Luster,Flexible LED lights for creative home lighting designs.,12:58 PM,Home,29.99
15,LED Strip Light Kit,Hovde,Flexible light strips for creative home decor.,11:05 PM,Home,39.99
16,LED Strip Light Kit,Emmet,Flexible light strips for creative home decor.,12:10 AM,Home,39.99
17,Adjustable Kneeling Pad,Continental,Comfortable kneeling pad for gardening or home projects.,10:12 PM,Garden,18.99
18,Caribbean Jerk Marinade,Chinook,A spicy marinade perfect for chicken and fish.,4:11 AM,Food - Marinades,3.79
19,Sweet Chili Dipping Sauce,Twin Pines,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,4:32 AM,Food - Condiments,2.99
20,Low-Fat Yogurt,Esch,"Creamy yogurt with probiotics, available in various flavors.",3:50 PM,Food - Dairy,3.29
21,Dog Frisbee Toy,Waxwing,Durable and soft frisbee designed for dogs to play with.,2:23 AM,Pets,10.99
22,Classic Pumps,Aberg,Elegant classic pumps that add sophistication to any outfit.,5:14 AM,Clothing - Footwear,64.99
23,Lentils,Schmedeman,"High in protein, perfect for soups and stews.",12:04 PM,Food - Grains,2.99
24,Sweet Potato Mash,Pankratz,"Creamy mashed sweet potatoes, ready to heat and serve.",10:04 AM,Food - Frozen Foods,3.99
25,Whole Wheat Pasta,Del Mar,Nutritious and hearty pasta made from whole wheat flour.,2:48 AM,Food - Grains,2.49
26,Roasted Red Pepper Sauce,Nova,Savory sauce perfect for pasta or dipping.,6:26 AM,Food - Sauces,3.29
27,Handcrafted Wooden Jewelry Box,Dayton,Beautifully crafted jewelry box with compartments for storage.,1:44 PM,Accessories,39.99
28,Puzzle Game Set,Kensington,Challenging puzzle game set for family entertainment.,4:12 PM,Toys,34.99
29,Compost Bin,Rieder,Countertop compost bin for kitchen waste.,7:59 AM,Garden,29.99
30,Kids' Outdoor Explorer Kit,South,Fun kit for aspiring explorers with binoculars and a compass.,11:30 PM,Toys,24.99
31,Whole Grain Cereal,Del Mar,"Healthy whole grain cereal, great for breakfast.",8:46 AM,Food - Breakfast,3.49
32,Oven-Baked Sweet Potato Fries,Lillian,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",1:17 AM,Food - Frozen Foods,3.99
33,Frozen Spinach,Leroy,"Chopped and frozen spinach, ideal for cooking and smoothies.",10:10 AM,Food - Frozen Foods,1.99
34,LED Makeup Mirror,Tomscot,Illuminated vanity mirror with adjustable brightness settings.,10:04 AM,Beauty,39.99
35,Cheddar Cheese Slices,Maple Wood,"Creamy cheddar cheese slices, perfect for sandwiches and snacks.",10:33 PM,Food - Dairy,3.49
36,Smartphone Camera Lens Kit,Jana,Upgrade your phone photography with this lens kit that includes wide-angle and macro lenses.,4:30 PM,Photography,19.99
37,Electric Toothbrush,Hudson,Rechargeable electric toothbrush with smart timer.,11:06 PM,Health,49.95
38,Almond Milk Yogurt,School,"Creamy yogurt made from almond milk, vegan-friendly.",9:55 AM,Food - Dairy Alternatives,1.99
39,Travel Mug with Leak-Proof Lid,Boyd,Stainless steel travel mug that keeps drinks hot or cold.,5:27 PM,Kitchen,24.99
40,Banana Chips,Union,"Crunchy and sweet banana chips, a great on-the-go snack.",6:47 AM,Food - Snacks,1.99
41,Tomato Basil Pasta Sauce,Kedzie,Rich and flavorful pasta sauce made with ripe tomatoes and basil.,8:37 AM,Food - Sauces,3.99
42,Scented Candles,Prairieview,Set of three aromatic candles with various scents.,6:58 PM,Home,19.99
43,Mini Projector,La Follette,Portable projector with 1080p resolution for movies.,10:26 PM,Electronics,169.99
44,Lemon Sorbet,Waywood,Refreshing sorbet with a zesty lemon flavor.,4:36 AM,Food - Frozen Desserts,4.99
45,Cacao Powder,Declaration,Unsweetened cacao powder for baking and smoothies.,1:30 AM,Food - Baking,4.49
46,Chocolate Protein Powder,Del Sol,Rich chocolate protein powder for smoothies and baking.,4:16 AM,Food - Supplements,24.99
47,Magnetic Chess Set,Talmadge,Portable chess set with magnetic pieces for travel.,12:44 PM,Toys,19.99
48,LED Strip Lights with Remote Control,Granby,Color-changing LED lights for home decoration with remote.,4:58 PM,Home,29.99
49,Essential Oils Diffuser Necklace,3rd,Wearable diffuser for scenting your space and body.,10:21 PM,Health,19.99
50,Herb Garlic Butter,Ridgeview,"A flavorful garlic butter blend, perfect for cooking or baking.",4:31 AM,Food - Condiments,3.99
51,Rustic Wooden Picture Frame,New Castle,Charming frame to showcase your favorite photos.,3:25 PM,Home,19.99
52,Organic Green Tea,Monica,Delicate green tea leaves for a refreshing beverage.,10:34 AM,Food - Beverages,4.29
53,Cinnamon Sugar Donuts,Heath,Delicious mini donuts dusted with cinnamon sugar.,1:17 PM,Food - Bakery,4.99
54,Vintage Graphic Tee,Lerdahl,Retro-style graphic tee with a soft wash for a vintage feel.,8:17 AM,Clothing - Tops,25.99
55,Coffee Making Kit,Merchant,Complete set to brew coffee with different methods.,9:09 PM,Kitchen,44.99
56,Faux Fur Throw Blanket,Starling,Cozy faux fur blanket to add warmth and style to your home.,6:57 AM,Home,39.99
57,Honey-Balsamic Vinaigrette,Schlimgen,A sweet and tangy vinaigrette dressing for salads.,10:55 PM,Food - Dressing,3.39
58,Travel Laundry Bag,Lyons,Compact laundry bag for travel use.,3:32 PM,Travel,9.99
59,Almond Flour Tortillas,South,"Gluten-free tortillas made from almond flour, perfect for various wraps and meals.",6:09 PM,Food - Baking & Cooking,4.99
60,Gardening Gloves,Oxford,Durable gardening gloves with reinforced fingertips.,9:09 PM,Garden,15.99
61,Almond Butter,Vera,Creamy almond butter made from roasted almonds.,6:51 PM,Food - Condiments,6.49
62,Lentil Soup,Glendale,"Flavorful lentil soup, perfect for a quick meal.",9:06 AM,Food - Canned Goods,2.49
63,Fitness Tracker Watch,Calypso,Water-resistant activity tracker and smartwatch features.,4:27 PM,Wearable Tech,79.99
64,Honey Glazed Carrots,Milwaukee,"Sweet and savory carrots glazed in honey, perfect as a side dish.",3:41 AM,Food - Produce,3.49
65,Cacao Nibs,Sullivan,"Crunchy cacao nibs, great for adding to smoothies or baking.",1:20 AM,Food - Baking,6.49
66,Electric Butter Churn,Quincy,Automatic churner for making butter at home.,12:22 AM,Kitchen,49.99
67,Classic Leather Wallet,Granby,A sleek leather wallet that combines style and functionality.,5:42 PM,Clothing - Accessories,34.99
68,Manual Coffee Grinder,Susan,Compact coffee grinder for fresh ground coffee beans.,3:47 PM,Kitchen,22.99
69,Organic Brown Sugar,Monica,Natural sweetener for baking and cooking.,3:05 AM,Food - Baking,2.49
70,Ice Cube Tray with Lid,Mallory,Silicone tray for making ice cubes with a lid to prevent spills.,1:34 AM,Kitchen,10.99
71,Herb-Infused Olive Oil,Forest Run,Premium olive oil infused with herbs for enhanced flavor.,1:49 AM,Food - Oils,8.99
72,Salsa,East,"Fresh and zesty salsa, perfect for nachos.",8:47 PM,Food - Condiments,3.49
73,Scent Diffuser,Kenwood,Ultrasonic essential oil diffuser with LED lights.,7:24 PM,Home,34.99
74,Chicken Parmesan Dinner Kit,Clove,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner.",11:58 PM,Food - Frozen Meals,14.99
75,Trendy Bomber Jacket,Hagan,A fashion-forward bomber jacket to elevate your casual looks.,5:51 PM,Clothing - Outerwear,69.99
76,Beef Sirloin Steak,Memorial,"Juicy and tender beef sirloin steak, grass-fed.",9:42 AM,Food - Meat,15.99
77,Fishing Rod,Menomonie,Lightweight fishing rod suitable for beginners.,2:36 PM,Outdoor,49.99
78,Organic Coconut Flakes,Rigney,Unsweetened coconut flakes for baking and snacking.,4:10 PM,Food - Baking,3.49
79,Granola,Meadow Vale,Crunchy and flavorful mix of oats and honey.,12:23 AM,Food - Breakfast,4.79
80,Chocolate Raspberry Tart,Portage,"Rich tart filled with chocolate and raspberry, a gourmet dessert.",5:24 AM,Food - Bakery,9.99
81,Portable Camping Shower,Lighthouse Bay,Convenient shower system for camping and outdoor activities.,4:31 PM,Outdoor,39.99
82,Scent Diffuser,Crescent Oaks,Ultrasonic essential oil diffuser with LED lights.,1:47 PM,Home,34.99
83,Lentil Soup,Evergreen,"Flavorful lentil soup, perfect for a quick meal.",10:34 AM,Food - Canned Goods,2.49
84,Belted Trench Coat,Pleasure,Timeless belted trench coat for a polished look during fall.,6:03 AM,Clothing - Outerwear,89.99
85,Rustic Italian Breads,Riverside,Freshly baked artisan bread with a crisp crust and soft center.,6:55 PM,Food - Bakery,3.99
86,Car Windshield Sun Shade,Prentice,Protects car interior from sun damage and heat.,7:50 PM,Automotive,19.99
87,Italian Pasta,Village,"Authentic Italian pasta, perfect for a classic meal.",9:14 PM,Food - Grains,2.29
88,Pumpkin Spice Coffee,Fuller,"Coffee blend infused with pumpkin spice, perfect for fall.",5:39 AM,Food - Beverages,7.99
89,Olive Oil,Northfield,"Extra virgin olive oil, ideal for cooking and salads.",6:08 PM,Food - Condiments,7.99
90,Noise Reduction Headphones,Mifflin,Passive noise reduction headphones for focus.,4:31 PM,Audio,39.99
91,Pumpkin Waffles,Starling,Delicious waffles infused with pumpkin and spices.,6:43 AM,Food - Breakfast,4.49
92,Almond Joy Snack Bars,Dottie,Chewy snack bars with coconut and almonds coated in chocolate.,2:23 AM,Food - Snacks,2.99
93,Reversible Swimming Pool Lounger,Weeping Birch,Floating lounger for relaxation in swimming pools or lakes.,8:25 PM,Outdoor,34.99
94,Chocolate Hazelnut Granola,Esker,Crunchy granola with chocolate and hazelnuts for breakfast.,8:56 PM,Food - Cereal,4.49
95,Herb Garlic Butter,Stoughton,"A flavorful garlic butter blend, perfect for cooking or baking.",11:34 AM,Food - Condiments,3.99
96,Spicy Hummus,Brown,"Creamy hummus with a kick of spice, great for dipping.",2:13 PM,Food - Deli,3.49
97,Pet Grooming Brush,Veith,Self-cleaning grooming brush for cats and dogs.,1:50 AM,Pets,19.99
98,Patterned Knit Scarf,Morningstar,Add a pop of color with this stylish patterned knit scarf.,3:02 PM,Clothing - Accessories,25.99
99,Yoga Blocks,Kipling,Set of two yoga blocks for increased stability and support.,2:42 AM,Fitness,29.99
100,Chickpea Flour,Nova,"Gluten-free flour made from ground chickpeas, great for cooking.",11:35 PM,Food - Baking,3.29
101,Falafel Mix,Dixon,Easy-to-make falafel mix for a tasty vegetarian meal.,6:34 PM,Food - Baking & Cooking,2.79
102,Pet Training Pads,Talisman,Absorbent training pads for puppies and kittens.,2:17 PM,Pets,24.99
103,Vegetable Stir-Fry Sauce,Sycamore,Savory sauce for vegetable and meat stir-fries.,8:27 AM,Food - Sauces,3.49
104,Wireless HDMI Transmitter,Namekagon,Stream HD video wirelessly to your TV.,3:20 PM,Electronics,79.99
105,Insulated Lunch Box,Transport,Durable lunch box designed to keep food fresh and cool.,1:21 PM,Kitchen,24.99
106,Magnetic Spice Containers,Center,Set of magnetic jars for convenient spice organization.,8:50 PM,Kitchen,24.99
107,Stainless Steel Water Pitcher,Pine View,Insulated pitcher to keep beverages cold or hot.,5:54 AM,Kitchen,39.99
108,Chipotle Black Bean Salad,Kings,"A zesty salad with black beans, corn, and chipotle dressing.",9:11 AM,Food - Salads,3.29
109,Sporty Cap,Browning,Stylish cap to complete your athletic look.,4:14 AM,Clothing - Accessories,15.99
110,Portable Bluetooth Speaker,Packers,Compact Bluetooth speaker with rich sound quality.,5:51 PM,Audio,49.99
111,Kids' Learning Tablet,Vahlen,Educational tablet designed for preschool-age children.,1:28 AM,Electronics,129.99
112,Organic Coconut Oil,Meadow Valley,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care.",9:44 AM,Food - Oils,8.99
113,Vanilla Almond Granola,Ilene,"Crunchy granola with almonds and a hint of vanilla, perfect for breakfast.",9:29 PM,Food - Breakfast,4.29
114,Personal Safety Alarm,Lake View,Compact alarm for personal safety and security.,2:39 AM,Safety,12.99
115,Cinnamon Sugar Mix,Shopko,Sweet mixture of cinnamon and sugar for sprinkling.,7:19 AM,Food - Baking,1.49
116,Habanero Hot Sauce,Sauthoff,Fiery hot sauce made with fresh habaneros and spices.,4:38 AM,Food - Condiments,3.79
117,Smartphone Gimbal,Ruskin,Stabilizing gimbal for smooth video recording.,1:49 AM,Electronics,89.99
118,Sweet Potato Noodles,Nova,"Pasta alternative made from sweet potatoes, gluten-free and rich in flavor.",1:07 AM,Food - Pasta,3.79
119,Salt and Pepper Grinder Set,Ronald Regan,Adjustable grinders for fresh spices at the table.,11:18 PM,Kitchen,19.99
120,Bodyweight Resistance Bands,Fremont,Set of resistance bands for strength training at home.,4:47 PM,Fitness,22.99
121,Frozen Acai Purée,Bayside,Unsweetened frozen acai purée for smoothies and bowls.,11:34 AM,Food - Frozen,6.99
122,Cinnamon Raisin Bread,Corben,"Sweet bread with cinnamon and raisins, great for breakfast or snacks.",11:24 PM,Food - Bakery,3.79
123,Reusable Coffee Filter,Orin,Eco-friendly coffee filter for brewing.,5:51 PM,Kitchen,10.99
124,Herbal Garden Starter Kit,Stoughton,Indoor gardening kit with herbs and pots.,4:12 AM,Garden,24.99
125,Mechanical Pencil Set,Old Shore,"Precision pencils for drawing, sketching, and writing.",12:25 AM,Office,19.99
126,Organic Baby Carrots,Maple Wood,Fresh and crunchy baby carrots ready for snacking.,6:12 AM,Food - Fresh Produce,2.99
127,Colorful Post-It Notes Set,Prairieview,Variety pack of sticky notes in different colors and sizes.,3:06 PM,Office,9.99
128,Dish Rack,Ridgeway,Collapsible dish rack for kitchen countertop use.,2:01 PM,Kitchen,24.99
129,Steak Seasoning Rub,Bultman,A blend of spices perfect for seasoning steak.,5:31 AM,Food - Spices,2.49
130,Key Finder,Monterey,Bluetooth-enabled key tracker to find lost items easily.,7:32 PM,Accessories,19.99
131,Electric Opener for Jars and Bottles,Center,Easily opens jar lids and bottle caps with one touch.,8:19 PM,Kitchen,24.99
132,Spicy Avocado Salsa,Kinsman,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",11:34 AM,Food - Condiments,4.49
133,Whole Grain Cereal,Porter,"Healthy whole grain cereal, great for breakfast.",3:21 PM,Food - Breakfast,3.49
134,Portable Solar Phone Charger,Holy Cross,Eco-friendly charger that uses solar energy for powering devices.,3:29 AM,Electronics,29.99
135,Pasta (Fusilli),Butternut,Twisted pasta perfect for salads and pasta dishes.,3:29 PM,Food - Pasta,1.79
136,Baked Mac and Cheese,Delladonna,Creamy macaroni and cheese baked to perfection.,2:55 AM,Food - Frozen Foods,5.99
137,Pet Hair Vacuum Cleaner Attachment,Mallory,Specialized attachment for removing pet hair from surfaces.,1:29 PM,Pets,14.99
138,Sesame Oil,Golf,Nutty-scented oil for stir-fry and marinades.,7:22 AM,Food - Oils & Vinegars,3.99
139,Organic Spinach,Hollow Ridge,"Fresh organic spinach, great for salads or cooking.",12:19 AM,Food - Produce,2.99
140,Athletic Sports Bra,Warbler,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric.",1:29 AM,Clothing - Activewear,24.99
141,Foam Muscle Roller,Sauthoff,Relieve muscle tension and soreness with this foam roller.,11:17 PM,Fitness,24.99
142,Insulated Coffee Mug,Westport,Double-walled mug to keep your drink hot for longer.,3:37 PM,Kitchen,24.99
143,Garden Vegetable Chips,Comanche,"Crispy chips made from assorted garden vegetables, lightly salted.",2:16 PM,Food - Snacks,3.49
144,Pesto Pasta Salad,Welch,Cold pasta salad tossed with pesto and fresh vegetables.,1:58 PM,Food - Prepared Foods,4.99
145,Pet Waterer with Filtration,Cordelia,Automatic waterer that filters and provides fresh drinking water for pets.,8:02 AM,Pets,39.99
146,Pet Activity Tracker,Little Fleur,GPS collar that monitors your pet's location and activity level.,3:50 AM,Pets,59.99
147,Hummus,Almo,"Creamy chickpea dip, perfect for veggies or pita.",6:32 PM,Food - Snacks,4.29
148,Eco-Friendly Stainless Steel Straws,Muir,Reusable straws that come with a cleaning brush.,1:10 AM,Kitchen,12.99
149,Sour Cream,Clyde Gallagher,"Tangy sour cream, perfect for dips and toppings.",5:00 PM,Food - Dairy,3.49
150,Pet Nail Clipper,Green,Safe and easy-to-use nail clippers for pets.,5:00 PM,Pets,12.99
