review_id,customer_id,attradtion_id,rating,comment,review_date
1,1,1,10,Lightweight and portable picnic table for outdoor use.,7/25/2025
2,2,2,12,Complete tattoo kit for beginners and professionals.,1/1/2026
3,3,3,18,Compact ice maker for creating ice at home or in offices.,6/25/2025
4,4,4,87,Spicy sauce perfect for chicken wings and dipping.,7/4/2025
5,5,5,70,High-quality sketchbook for artists.,10/30/2025
6,6,6,86,Electric kettle that offers precise temperature settings.,12/30/2025
7,7,7,85,Effective roller for removing pet hair from furniture.,9/11/2025
8,8,8,37,"Sweet and fruity peach preserves, perfect for spreading on toast.",9/27/2025
9,9,9,98,Lightweight and portable chair for camping or events.,10/19/2025
10,10,10,74,Crunchy corn chips flavored with chili and lime for a zesty kick.,1/2/2026
11,11,11,98,Quick-cooking ramen for instant meals.,1/27/2026
12,12,12,56,Savory soup made with leeks and potatoes.,7/26/2025
13,13,13,9,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner.",2/24/2026
14,14,14,30,DIY projector that magnifies your smartphone screen for movie nights.,9/13/2025
15,15,15,34,Durable toy designed for heavy chewers.,1/19/2026
16,16,16,3,Modern lamp featuring a USB port for convenient charging.,6/10/2025
17,17,17,8,A feminine wrap top with a beautiful floral print.,9/16/2025
18,18,18,22,Spreadable cream cheese with garlic and herbs.,9/8/2025
19,19,19,36,"Organize travel documents, passport, and cards.",11/19/2025
20,20,20,53,Mild cheese great for sandwiches.,1/24/2026
21,21,21,4,Stainless steel travel mug with spill-proof lid.,5/28/2025
22,22,22,43,"Rich tomato soup flavored with fresh basil, ready to heat up.",12/24/2025
23,23,23,11,"Creamy yogurt made with coconut and cashews, dairy-free.",11/21/2025
24,24,24,15,Silicone oven mitts designed for safe cooking and baking.,9/9/2025
25,25,25,68,Soft and chewy bar packed with protein and cinnamon flavors.,9/4/2025
26,26,26,67,Warm oatmeal flavored with apple and cinnamon.,6/3/2025
27,27,27,1,Flexible LED lights for creative home lighting designs.,3/13/2026
28,28,28,59,Roasted almonds coated in a sweet maple and cinnamon mixture.,8/30/2025
29,29,29,78,Eco-friendly bags for picking up after your pet.,5/16/2025
30,30,30,92,Stability ball for Pilates and yoga workouts.,9/17/2025
31,31,31,19,Bright safety vest for outdoor visibility during any activity.,5/20/2025
32,32,32,75,"Gluten-free almond flour, perfect for baking.",11/29/2025
33,33,33,81,Spacious duffle bag for weekend getaways.,4/29/2025
34,34,34,68,Everything you need for maintaining a healthy beard.,6/16/2025
35,35,35,51,A hearty vegetable curry for a quick and satisfying meal.,8/14/2025
36,36,36,52,Compact digital camera with 20MP resolution.,11/10/2025
37,37,37,37,Sharp tailored blazer perfect for office wear and professional events.,3/11/2026
38,38,38,64,Compact organizer for cosmetics during travel.,10/18/2025
39,39,39,62,"Crunchy and nutritious almonds, perfect for snacking.",4/24/2025
40,40,40,16,Durable speaker designed for outdoor use with water resistance.,11/18/2025
41,41,41,26,Space-saving shoe organizer for tight spaces.,1/29/2026
42,42,42,30,A rich curry paste for making authentic Thai green curry at home.,9/19/2025
43,43,43,44,"Easy-to-prepare rice with cilantro and lime flavors, great as a side.",8/5/2025
44,44,44,48,Comfortable and adjustable harness for dogs.,4/25/2025
45,45,45,3,"Delicious pretzel bites with a sweet honey mustard flavor, perfect for dipping.",9/8/2025
46,46,46,53,Plant-based sausage links with spices and herbs.,10/20/2025
47,47,47,38,"A healthy oil extracted from avocados, ideal for frying and salads.",5/3/2025
48,48,48,43,Rich and flavorful tomato sauce for pasta or pizza.,4/28/2025
49,49,49,97,Classic wooden train set for imaginative play.,4/4/2025
50,50,50,34,Natural energy bites packed with fruits and nuts for a perfect snack.,1/15/2026
51,51,51,21,Light and crunchy rice cakes made from organic brown rice.,8/17/2025
52,52,52,3,"Fresh artisan bread, perfect for sandwiches",6/6/2025
53,53,53,81,Sharp tailored blazer perfect for office wear and professional events.,7/3/2025
54,54,54,40,Timeless analog watch with a leather strap.,3/30/2025
55,55,55,38,"Gluten-free pasta made from lentils, high in protein.",10/13/2025
56,56,56,37,Healthier way to make popcorn in the microwave without oil.,11/8/2025
57,57,57,11,"Chopped and frozen spinach, ideal for cooking and smoothies.",11/7/2025
58,58,58,97,Electric indoor grill for quick meals.,4/26/2025
59,59,59,63,"A creamy spread made with chocolate and hazelnuts, perfect for toast.",2/1/2026
60,60,60,12,Multi-functional tool for emergency situations in the car.,7/24/2025
61,61,61,79,"A variety pack of classic, roasted red pepper, and garlic hummus.",1/27/2026
62,62,62,28,Seat belt attachment to keep dogs safe during car rides.,9/16/2025
63,63,63,27,Set of ceramic knives for precision slicing.,10/31/2025
64,64,64,43,HD streaming device for accessing popular services.,7/3/2025
65,65,65,53,Magical lens kit for kids to explore the outdoors.,2/21/2026
66,66,66,74,Compact charcoal grill perfect for tailgating.,7/1/2025
67,67,67,27,Quick and easy fried rice mixed with vegetables and soy sauce.,5/1/2025
68,68,68,16,Suction cup bird feeder for close-up bird watching.,4/9/2025
69,69,69,49,Windshield sunshade for car interior protection.,11/16/2025
70,70,70,6,Waterproof cover to protect car seats from pet hair and dirt.,6/11/2025
71,71,71,61,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",6/12/2025
72,72,72,59,"Protein-rich quinoa, a great alternative to rice.",9/13/2025
73,73,73,84,Compact laundry bag for travel use.,9/21/2025
74,74,74,78,Effective laundry detergent for a deep clean.,12/20/2025
75,75,75,62,Eco-friendly bamboo holder for toothbrushes.,11/8/2025
76,76,76,21,Set of unique wooden coasters for drinks and decor.,6/14/2025
77,77,77,74,Elegant tea set that includes an infuser for brewing.,10/22/2025
78,78,78,90,Delicious mini donuts dusted with cinnamon sugar.,2/2/2026
79,79,79,95,Instant oatmeal flavored with cranberries and orange zest for breakfast.,10/26/2025
80,80,80,5,Fast and accurate thermometer for grilling and cooking.,8/6/2025
81,81,81,35,Durable and non-stick ceramic cookware for healthy cooking.,10/16/2025
82,82,82,13,"Quick oatmeal cups with banana and nut flavor, great for breakfast.",6/15/2025
83,83,83,63,Fluffy biscuits made without gluten,4/7/2025
84,84,84,6,Nostalgic clock that adds charm to any room.,8/16/2025
85,85,85,23,Marinated grilled chicken breasts seasoned with garlic and herbs.,3/8/2026
86,86,86,3,A flavorful barbecue sauce with a sweet and spicy kick.,6/22/2025
87,87,87,71,Stackable containers for organizing snacks and treats.,8/12/2025
88,88,88,66,Versatile folding table great for events or outdoor activities.,5/30/2025
89,89,89,89,A timeless wardrobe staple crafted from soft cotton with a perfect fit.,10/10/2025
90,90,90,38,"Sweet and tart dried cranberries, great for salads and baking.",6/26/2025
91,91,91,98,Delicious clusters of peanuts and chocolate for a sweet treat.,3/1/2026
92,92,92,9,"Nutty flavored chia seeds, packed with nutrients.",3/26/2026
93,93,93,45,Non-slip yoga mat for optimal grip and comfort.,4/20/2025
94,94,94,38,Compact coffee grinder for fresh ground coffee beans.,12/6/2025
95,95,95,45,Modern lamp featuring a USB port for convenient charging.,5/19/2025
96,96,96,78,Automatically cooks eggs to your desired level.,4/7/2025
97,97,97,63,Planter with self-watering feature for easy plant care.,1/5/2026
98,98,98,78,Automatically cooks eggs to your desired level.,2/14/2026
99,99,99,77,"Versatile holder that can be used on desks, cars, and more.",5/21/2025
100,100,100,53,"Frozen stir-fry mix with chicken, veggies, and teriyaki sauce.",4/5/2025
101,101,101,36,Small fridge designed to keep skincare products cool and fresh.,10/18/2025
102,102,102,38,Crispy and sweet dried apple slices,7/3/2025
103,103,103,83,Wide pasta sheets for making lasagna.,10/11/2025
104,104,104,44,Spicy chili sauce for an extra kick in your meals.,8/17/2025
105,105,105,7,Tangy and crunchy dill pickles.,11/27/2025
106,106,106,54,Refreshing sparkling water infused with cranberry and lime flavors.,3/5/2026
107,107,107,57,Travel-friendly water bottle for pets on the go.,4/23/2025
108,108,108,54,Space-saving broom holder for organized cleaning supplies.,7/15/2025
109,109,109,84,Savory soup made with leeks and potatoes.,8/14/2025
110,110,110,69,Savory soup made with leeks and potatoes.,7/31/2025
111,111,111,45,Non-slip yoga mat for optimal grip and comfort.,2/6/2026
112,112,112,43,Indoor gardening kit with herbs and pots.,12/18/2025
113,113,113,18,Everything you need to bake delicious chocolate chip cookies.,8/17/2025
114,114,114,40,Windshield sunshade for car interior protection.,9/7/2025
115,115,115,38,Eco-friendly bamboo toothbrush for sustainable living.,7/27/2025
116,116,116,64,Wireless earbuds designed for immersive sound experience.,10/26/2025
117,117,117,94,Rich chocolate syrup for ice cream or beverages.,3/23/2026
118,118,118,78,Rich vegetable stock for cooking soups and stews.,1/27/2026
119,119,119,14,Durable baking sheet coated for easy food release.,1/21/2026
120,120,120,96,"Fine semolina flour, perfect for pasta and desserts.",4/7/2025
121,121,121,48,Compact food processor for quick meal prep.,8/27/2025
122,122,122,55,"Tender and juicy pork chops, perfect on the grill.",12/15/2025
123,123,123,95,"Classic marinara sauce for pasta, pizza, or dipping.",7/8/2025
124,124,124,5,"Eye-catching mini dress with sequins, ideal for party nights out.",10/7/2025
125,125,125,9,Juicy raisins coated in rich dark chocolate.,5/7/2025
126,126,126,36,Eco-friendly yoga mat made from sustainable materials.,3/22/2026
127,127,127,26,Versatile canvas sneakers suitable for everyday wear with a comfortable fit.,9/12/2025
128,128,128,54,Automatically cooks eggs to your desired level.,5/31/2025
129,129,129,52,Lightweight and portable paddle board for water sports.,1/4/2026
130,130,130,32,Variety of bands suitable for all fitness levels.,12/17/2025
